ID,Word 1,Word 2,PoS,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5,Annotator 6,Annotator 7,Annotator 8,Annotator 9,Annotator 10
1,brazo,músculo,nouns,1,1,5,0,0,0,2,1,2,2
2,democracia,monarquía,nouns,0,0,3,0,0,0,2,1,3,4
3,tejado,techo,nouns,5,5,6,4,5,3,4,4,6,6
4,amigo,profesor,nouns,0,0,1,0,0,0,2,0,1,0
5,mano,pie,nouns,1,0,3,0,0,0,2,1,3,1
6,biografía,ficción,nouns,1,1,2,0,0,0,0,0,2,1
7,disco,ordenador,nouns,0,1,4,0,0,0,2,2,1,3
8,Esgrima,gimnasia,nouns,1,2,6,2,3,0,3,1,4,4
9,banco,asiento,nouns,5,5,6,5,5,5,5,5,5,5
10,emperador,constitución,nouns,0,0,4,0,0,0,1,2,3,2
11,pistola,truco,nouns,0,0,2,0,0,0,0,0,0,0
12,tamaño,magnitud,nouns,5,6,5,5,6,5,5,6,5,2
13,pelota,guante,nouns,0,0,5,0,0,0,2,0,2,2
14,oveja,ganado,nouns,1,0,5,3,3,0,4,4,5,2
15,lagartija,cocodrilo,nouns,1,1,5,2,4,0,4,3,4,2
16,amigo,huésped,nouns,0,2,6,0,0,0,1,2,4,1
17,cumpleaños,cita,nouns,0,0,5,2,1,0,1,2,3,0
18,coche,taxi,nouns,3,2,5,4,3,4,4,4,5,4
19,hueso,dientes,nouns,1,0,5,0,0,0,3,2,4,2
20,paraguas,calentador,nouns,0,0,0,0,0,0,0,0,1,1
21,frustración,enfado,nouns,1,5,5,5,3,5,5,5,5,6
22,activo,valores,nouns,0,1,3,3,5,0,4,0,6,4
23,acción,curso,nouns,3,3,3,2,0,0,0,0,0,2
24,celebracion,ceremonia,nouns,3,4,6,4,5,0,5,4,5,5
25,ensayo,tarea,nouns,2,3,5,3,3,4,5,1,5,2
26,circunnavegación,equipaje,nouns,0,0,3,0,2,0,1,1,3,1
27,populacho,multitud,nouns,3,3,6,3,0,0,5,4,5,3
28,hombro,cabeza,nouns,0,0,3,0,0,0,2,3,4,3
29,arquero,pionero,nouns,0,1,4,0,0,0,1,0,0,2
30,mito,sátira,nouns,1,1,6,1,0,0,4,3,2,2
31,ganador,candidato,nouns,0,0,4,1,2,0,2,2,5,1
32,combate,beligerancia,nouns,3,1,4,3,2,0,5,5,6,5
33,puerta,portón,nouns,5,5,5,5,6,0,5,6,6,6
34,bolos,jugador de bolos,nouns,0,1,6,3,0,0,2,1,4,4
35,circunstancia,situación,nouns,5,6,6,5,6,5,5,6,6,6
36,convocatoria,reunión,nouns,2,4,5,4,6,6,4,6,5,6
37,cuidado,precaución,nouns,5,6,6,6,6,6,4,6,6,6
38,gravedad,meteorito,nouns,0,0,4,0,0,0,2,1,4,3
39,cena,pollo,nouns,0,1,4,0,0,0,3,2,4,2
40,sensor,radiador,nouns,0,1,1,0,1,0,2,3,3,1
41,palomitas de maiz,cine,nouns,0,0,6,5,0,0,3,2,4,1
42,casa,apartamento,nouns,5,3,6,5,3,0,4,5,6,4
43,centavo,esposa,nouns,0,0,3,0,0,0,0,0,0,0
44,palabra,literatura,nouns,0,1,6,1,3,0,4,2,4,3
45,Escoba,polvo,nouns,0,0,0,1,0,0,2,2,4,0
46,snowboard,esquí,nouns,1,1,6,3,4,0,4,2,5,0
47,hijo,padre,nouns,0,1,5,1,0,0,4,0,4,1
48,semilla,mostaza,nouns,1,1,3,1,2,0,2,2,5,1
49,gato,Conejo,nouns,0,0,2,0,0,0,1,1,4,1
50,biólogo,microscopio,nouns,0,0,4,0,0,0,3,2,3,1
51,placa,vaso,nouns,0,0,3,0,2,0,0,0,0,2
52,chisme,Noticias,nouns,2,2,1,2,3,0,4,2,4,1
53,dado,cubo,nouns,1,2,5,3,4,6,3,2,4,5
54,torre,campana,nouns,0,0,6,0,0,0,3,2,4,2
55,programa informático,caso,nouns,0,0,4,0,1,0,0,0,1,0
56,Dios,sacerdote,nouns,0,0,5,0,0,0,3,2,4,2
57,río,Valle,nouns,1,0,5,1,0,5,2,2,5,3
58,automóvil,coche,nouns,5,5,6,6,6,6,6,6,6,3
59,madre,esposa,nouns,0,1,4,3,0,0,3,2,5,3
60,árbol,arce,nouns,1,1,6,3,4,5,3,4,5,5
61,arroz,niño,nouns,0,0,0,0,0,0,0,0,0,0
62,chico,semental,nouns,0,0,2,0,0,0,3,0,1,0
63,puerto,envoltura,nouns,0,0,1,0,0,0,0,0,0,0
64,inteligencia,lógica,nouns,1,4,5,3,3,3,5,3,5,2
65,día,Mañana,nouns,0,2,6,6,2,5,4,4,5,2
66,arma,casco,nouns,0,0,4,0,0,0,3,2,4,1
67,monasterio,ducha,nouns,0,0,0,0,0,0,0,0,0,0
68,ganador,presencia,nouns,0,0,4,0,0,0,0,0,0,0
69,televisión,cine,nouns,0,0,6,2,3,0,4,2,5,1
70,filete,carne,nouns,1,4,6,3,3,5,5,4,5,0
71,pistón,motor,nouns,0,1,5,1,4,0,3,3,4,1
72,virus,sangre,nouns,0,0,4,0,0,0,3,1,3,1
73,hombre,centinela,nouns,0,0,4,0,0,0,1,1,3,0
74,oveja,Cordero,nouns,2,4,6,2,6,5,3,5,5,0
75,coche,autopista,nouns,0,0,5,0,0,0,2,1,4,2
76,resistencia,fuerza,nouns,3,3,6,2,2,0,4,4,4,2
77,entropía,información,nouns,0,0,3,1,0,0,0,1,0,3
78,ruido,traqueteo,nouns,1,4,5,2,5,0,5,3,4,5
79,dinero,salario,nouns,0,3,6,4,5,2,5,4,5,3
80,profesor,ayudante,nouns,0,1,5,0,0,0,0,0,3,2
81,autor,creador,nouns,5,3,6,5,6,6,6,5,5,6
82,papel pintado,fondo,nouns,0,1,4,2,0,0,2,3,3,1
83,cerveza,champán,nouns,0,0,3,0,0,0,3,2,4,1
84,capacidad,competencia,nouns,4,0,5,2,1,0,5,5,6,2
85,mano,muñeca,nouns,0,1,5,2,0,0,3,3,4,4
86,capítulo,elección,nouns,0,0,2,0,0,0,1,0,0,2
87,agosto,mes,nouns,1,2,6,4,2,3,4,2,5,1
88,curso,estómago,nouns,0,0,0,0,0,0,0,0,1,0
89,monje,cruzar,nouns,0,0,0,0,0,0,0,0,0,1
90,estrella,brillo,nouns,0,2,6,3,3,0,4,2,4,3
91,visión,percepción,nouns,2,4,6,4,4,5,5,5,6,4
92,vino,brandy,nouns,0,0,3,0,2,0,2,2,5,2
93,habitación,bañera,nouns,0,0,3,0,0,0,1,0,3,0
94,pasillo,corredor,nouns,5,5,6,5,6,6,4,6,6,4
95,naranja,cítrico,nouns,1,2,6,3,3,0,4,4,5,2
96,Iglesia,coro,nouns,0,0,4,0,0,0,2,2,4,0
97,ropa,cajón,nouns,0,0,6,0,0,0,1,2,3,1
98,día,amanecer,nouns,0,0,6,2,1,5,3,4,4,1
99,bestia,animal,nouns,4,4,6,3,6,6,2,3,6,1
100,tarro,botella,nouns,0,0,4,3,5,0,2,2,5,2
101,río,mar,nouns,0,1,5,4,2,0,3,2,4,3
102,hecho,visión,nouns,0,0,2,0,0,0,0,0,2,1
103,tribunal,justicia,nouns,1,4,6,3,2,0,3,2,4,1
104,pasado,antecedente,nouns,1,5,5,2,5,0,5,4,6,1
105,globalismo,visado,nouns,0,0,4,0,0,0,0,2,2,0
106,monstruo,demonio,nouns,1,5,6,2,3,4,3,2,5,2
107,abogado,banquero,nouns,0,0,5,0,0,0,0,2,4,3
108,cuchara,vaso,nouns,0,0,4,0,0,0,1,2,4,1
109,segundo,minuto,nouns,0,1,6,2,2,0,3,3,5,3
110,felicidad,tristeza,nouns,0,0,0,0,0,0,3,2,2,1
111,galaxia,astrónomo,nouns,0,0,5,0,0,0,4,2,4,1
112,obrero,cámara,nouns,0,0,0,0,0,0,0,0,0,1
113,riñón,órgano,nouns,1,4,6,4,2,4,4,3,4,0
114,fútbol,fútbol americano,nouns,1,1,4,3,4,0,2,2,4,4
115,chico,niña,nouns,0,1,0,0,0,0,2,2,4,3
116,niño,hermano,nouns,0,1,3,4,0,0,3,1,3,2
117,intercambio,reemplazo,nouns,4,2,3,5,2,0,3,2,6,5
118,poeta,periodista,nouns,0,0,2,0,0,0,1,0,5,1
119,recordatorio,diferencia,nouns,0,0,2,0,0,0,0,0,2,0
120,vaca,cabra,nouns,0,0,1,0,0,0,2,2,4,4
121,parlamento,congreso,nouns,3,1,6,2,3,0,6,4,6,5
122,divertido,fútbol,nouns,0,0,6,0,0,0,3,0,3,0
123,riqueza,pobreza,nouns,0,0,0,0,0,0,0,0,2,0
124,taxi,autobús,nouns,1,0,4,1,3,0,3,1,4,3
125,alcohol,Ginebra,nouns,2,0,5,1,3,0,4,2,4,2
126,corazón,cirugía,nouns,0,0,3,0,0,0,2,1,4,0
127,elegancia,estilo,nouns,3,5,5,4,4,0,5,4,6,5
128,ganado,ternera,nouns,0,1,5,3,4,5,5,3,5,4
129,tarea,autopista,nouns,0,0,0,0,0,0,0,0,1,0
130,noche,día,nouns,0,0,0,0,0,0,1,2,3,4
131,envase,ratón,nouns,0,0,0,0,0,0,0,0,1,0
132,juego,truco,nouns,1,0,4,2,2,0,3,2,4,2
133,ganado,yogur,nouns,0,0,3,0,0,0,0,0,3,0
134,avestruz,huerta,nouns,0,0,2,0,0,0,0,0,2,0
135,gente,globo,nouns,0,0,4,0,0,0,0,0,1,0
136,puerta,cocina,nouns,0,0,4,0,0,0,0,0,3,0
137,negocio,industria,nouns,2,5,5,4,1,0,3,3,6,2
138,contaminación,presidente,nouns,0,0,3,0,0,0,0,0,2,0
139,mar,océano,nouns,4,3,6,3,5,5,5,3,5,3
140,capilla,cable,nouns,0,0,0,0,0,0,0,0,0,0
141,ropa,botón,nouns,0,1,4,0,0,0,1,2,4,2
142,cubierta,ratón,nouns,0,0,0,0,0,0,0,0,0,0
143,negación,confesión,nouns,0,0,3,0,0,0,1,0,4,4
144,pelota,cañón,nouns,0,0,0,0,0,0,0,0,1,3
145,niña,niño,nouns,1,3,4,3,5,0,3,2,5,6
146,anatomía,biología,nouns,1,1,4,3,1,0,2,2,5,3
147,lácteos,miel,nouns,0,0,0,0,0,0,0,0,4,1
148,casa,granero,nouns,0,0,0,0,0,0,1,2,3,2
149,cena,sopa,nouns,0,2,5,2,1,0,3,2,4,2
150,accidente,catástrofe,nouns,2,3,5,4,2,0,3,4,6,5
151,curva,ángulo,nouns,1,0,4,3,0,0,3,4,5,2
152,personaje,persona,nouns,2,2,5,3,0,0,4,2,5,5
153,baloncesto,béisbol,nouns,0,1,2,0,1,0,2,2,4,3
154,símbolo,firmar,nouns,0,1,4,0,0,0,0,0,4,1
155,Rey,princesa,nouns,0,2,1,0,0,0,3,2,5,5
156,Pareja,par,nouns,6,3,6,3,6,0,5,6,5,6
157,fotófono,homófono,nouns,0,0,4,0,0,0,0,0,0,4
158,objetivo,flecha,nouns,0,1,4,0,0,0,0,2,4,1
159,sacerdote,monje,nouns,3,2,4,1,5,0,4,3,6,5
160,estudiante,alumno,nouns,4,5,6,6,5,6,6,6,6,5
161,bebé,hija,nouns,2,1,5,2,2,0,5,2,5,5
162,manzana,salsa,nouns,0,0,0,0,0,0,0,0,4,2
163,Príncipe,Rey,nouns,0,2,3,1,1,0,3,2,5,5
164,presencia,puerta,nouns,0,1,3,0,0,0,0,0,2,0
165,cama,sofá,nouns,0,1,4,2,1,0,2,2,5,4
166,géiser,primavera,nouns,0,0,5,0,0,0,0,0,1,0
167,dígito,número,nouns,4,1,6,4,5,6,5,6,6,6
168,hashtag,tema,nouns,0,1,6,1,6,0,3,3,3,2
169,confianza,yo,nouns,0,0,1,0,3,0,3,0,4,1
170,médico,ortodoncista,nouns,2,1,3,2,1,0,4,2,5,1
171,cárcel,elección,nouns,0,0,1,0,0,0,0,0,2,0
172,coche,ascensor,nouns,0,0,0,0,0,0,0,0,3,0
173,cámara,presidente,nouns,0,0,6,0,0,0,1,0,2,0
174,infección,inflexión,nouns,0,0,2,0,0,0,0,0,0,0
175,planta de semilla,hoja,nouns,0,0,4,0,0,0,1,2,4,4
176,condensador,diodo,nouns,0,0,4,2,0,0,3,2,5,5
177,raqueta,pelota,nouns,0,0,4,0,0,0,2,2,4,1
178,papel,cartulina,nouns,2,4,4,3,2,0,4,5,6,5
179,demonio,ángel,nouns,0,0,0,0,0,0,1,2,5,2
180,cama,silla,nouns,0,0,3,0,0,0,1,2,4,4
181,oro,zinc,nouns,0,0,2,0,1,0,2,2,4,2
182,moisés,cuna,nouns,0,0,1,3,5,0,4,5,3,0
183,subrutina,compilador,nouns,0,0,2,0,2,0,0,0,4,0
184,papá,madre,nouns,0,1,2,3,3,0,3,2,5,5
185,banda,desfile,nouns,0,0,4,2,1,0,3,2,4,4
186,enfermedad,infección,nouns,2,3,6,3,2,0,4,3,6,3
187,cuerpo,estómago,nouns,0,1,5,0,0,0,3,1,4,3
188,gato,mascota,nouns,1,1,6,3,3,3,4,4,4,4
189,buque,vena,nouns,0,0,0,0,0,0,0,0,0,0
190,madre,guardián,nouns,0,0,5,0,3,0,1,1,5,2
191,vexilología,bandera,nouns,0,0,6,0,0,0,0,2,5,0
192,sentido,intuición,nouns,2,2,6,3,4,4,3,0,6,5
193,átomo,carbón,nouns,0,0,3,0,0,0,1,2,5,2
194,ópera,cine,nouns,0,1,2,0,0,0,2,2,5,2
195,himno,cañita,nouns,0,0,1,0,0,0,0,0,0,0
196,lógica,aritmética,nouns,1,0,4,2,0,0,4,2,5,3
197,matriz,vector,nouns,0,1,5,1,0,0,2,2,5,3
198,manzana,sol,nouns,0,0,4,0,0,0,0,0,1,0
199,magistrado,juez,nouns,3,1,5,3,3,0,3,3,6,5
200,uña,pulgar,nouns,0,1,5,0,0,0,3,1,4,3
201,dólar,millonario,nouns,0,0,4,0,0,0,1,1,4,1
202,asignación,tarea,nouns,4,3,5,3,6,6,5,5,6,6
203,escultura,estatua,nouns,5,5,5,4,5,6,5,6,6,6
204,obrero,mecánico,nouns,0,2,5,3,2,0,2,2,5,3
205,idea,esquema,nouns,3,0,5,2,5,4,2,3,4,2
206,proteína,asa,nouns,0,0,3,0,0,0,0,0,0,0
207,aviónica,aeronáutica,nouns,3,1,5,3,5,0,0,2,5,6
208,metro,yarda,nouns,1,0,5,1,3,0,2,2,5,3
209,ropa,tela,nouns,0,1,5,3,3,0,3,2,4,3
210,arzobispo,obispo,nouns,1,1,6,2,3,0,4,3,6,4
211,cañón,Valle,nouns,1,0,0,2,4,0,3,2,6,3
212,flor,arbusto,nouns,0,0,4,3,2,0,2,2,5,3
213,xenofobia,racismo,nouns,2,3,6,3,6,6,6,4,6,4
214,cama,cuna,nouns,2,1,5,2,4,0,3,3,5,5
215,pistola,cuchillo,nouns,0,0,5,0,1,0,2,2,4,3
216,tormenta,huracán,nouns,3,3,4,2,3,0,4,3,6,3
217,tarjeta madre,placa base,nouns,2,0,5,2,2,0,1,0,6,3
218,patología,hematología,nouns,0,0,4,0,0,0,2,2,5,3
219,cielo,universo,nouns,0,1,3,1,0,0,1,0,5,1
220,hombre,marido,nouns,0,0,3,1,0,0,3,1,4,6
221,póster,papel,nouns,0,1,6,1,1,0,3,1,4,2
222,artículo,diario,nouns,0,1,5,0,0,0,3,2,4,2
223,altitud,conversión,nouns,0,0,4,0,0,0,1,0,1,1
224,multimillonario,indigente,nouns,0,0,0,0,0,0,0,0,2,0
225,arroz,frijol,nouns,0,0,3,0,0,0,1,1,4,2
226,silla,banco,nouns,2,4,5,2,2,4,5,3,5,3
227,esfuerzo,dificultad,nouns,3,0,4,1,0,6,5,1,5,2
228,boca,diente,nouns,0,0,4,0,0,0,2,2,4,3
229,sufijo,afijo,nouns,0,1,5,1,1,0,2,2,5,3
230,pájaro,pavo,nouns,2,1,5,2,1,0,3,4,5,3
231,calendario,vacaciones,nouns,0,1,0,0,0,0,3,2,4,2
232,prejuicio,chauvinista,nouns,1,1,3,0,2,0,0,2,4,2
233,bicicleta,habitación,nouns,0,0,1,0,0,0,0,0,2,0
234,felicidad,paz,nouns,3,3,5,2,1,0,3,2,5,2
235,sofá,silla,nouns,1,2,5,2,2,0,2,2,5,5
236,ropa,armario,nouns,0,1,5,0,0,0,1,1,4,4
237,padre,Dios,nouns,0,3,4,0,0,0,4,0,4,3
238,contaminación,atmósfera,nouns,0,0,4,0,0,0,1,2,4,2
239,vitamina,plancha,nouns,0,0,0,0,0,0,0,0,2,3
240,habitación,célula,nouns,0,0,0,0,0,0,0,0,1,0
241,colegio,derecho,nouns,0,0,3,0,0,0,1,0,4,0
242,emperador,gobernador,nouns,2,1,5,2,4,0,1,1,5,3
243,cena,desayuno,nouns,0,0,4,0,1,0,2,2,5,0
244,acústica,sonido,nouns,3,6,6,2,5,0,4,4,4,4
245,princesa,galleta,nouns,0,0,0,0,0,0,0,0,0,0
246,química,teoría,nouns,0,0,4,0,0,0,2,0,4,0
247,comunicación,televisión,nouns,0,0,5,0,3,0,3,1,4,0
248,nieve,hielo,nouns,1,1,6,3,4,0,5,3,5,3
249,libro,materia,nouns,0,1,6,0,3,0,2,2,3,0
250,piedra,madera,nouns,0,0,3,0,1,0,0,1,4,0
251,comida,cena,nouns,5,3,4,3,1,4,4,4,5,3
252,ducado,principado,nouns,1,2,5,1,3,0,3,2,5,3
253,cerámico,cerámica,nouns,5,2,6,4,4,6,5,5,6,5
254,molino,semilla,nouns,0,1,6,0,0,0,2,2,4,0
255,alfabeto,bolígrafo,nouns,0,0,4,0,0,0,0,0,4,0
256,conductor,piloto,nouns,5,5,6,4,5,6,4,5,5,6
257,noche,capítulo,nouns,0,0,4,0,0,0,1,0,2,0
258,clima,ola,nouns,0,0,3,0,0,0,0,0,3,0
259,dinero,perla,nouns,0,0,3,0,0,0,2,0,5,0
260,baño,habitación,nouns,3,0,1,0,1,0,1,2,4,0
261,hueso,tobillo,nouns,0,0,5,0,0,0,1,1,4,0
262,planeta,estrella,nouns,0,1,6,2,0,6,2,2,4,2
263,estilo,Moda,nouns,5,1,6,4,2,3,3,4,6,4
264,calle,callejón,nouns,2,1,6,4,4,3,2,5,6,3
265,atención,conciencia,nouns,0,3,3,0,4,0,1,0,2,2
266,lengua,garganta,nouns,0,0,3,0,1,0,1,2,4,0
267,dinosaurio,elefante,nouns,0,0,2,0,0,0,1,2,4,0
268,accidente,emergencia,nouns,2,1,5,4,2,0,4,2,5,6
269,viaje,conquista,nouns,0,0,3,0,0,0,1,0,4,0
270,tarea,trabajo,nouns,5,2,4,3,5,5,4,5,6,6
271,hombre,padre,nouns,1,1,5,2,0,0,4,1,3,3
272,mujer,hombre,nouns,0,2,3,0,0,0,0,2,5,3
273,cama,habitación,nouns,0,1,6,0,0,0,2,0,4,0
274,playa,arrecife,nouns,0,0,5,0,0,0,3,1,4,3
275,playa,costa,nouns,1,2,6,4,2,4,5,4,4,3
276,tenis,estadística,nouns,0,0,3,0,0,0,0,0,2,0
277,órgano,hígado,nouns,1,1,5,3,1,0,3,2,5,2
278,riqueza,fama,nouns,0,1,6,0,1,0,2,2,5,0
279,valor,tarifa,nouns,1,2,3,3,3,4,4,3,4,0
280,ropa interior,cuerpo,nouns,0,0,3,0,0,0,0,0,3,0
281,abogado,licenciado en derecho,nouns,2,4,5,6,5,6,6,5,5,3
282,acetilcolina,iris,nouns,0,0,1,0,0,0,0,0,2,0
283,lago,pantano,nouns,0,1,4,3,3,6,3,3,5,0
284,lámpara,genio,nouns,0,0,4,0,0,0,1,1,4,0
285,servidor,esclavo,nouns,1,5,5,2,2,0,4,1,5,3
286,Armada,Ejército,nouns,3,5,6,4,1,4,5,6,5,6
287,fondo,lado,nouns,0,0,4,0,0,0,1,1,4,0
288,caja,sombrero,nouns,0,0,2,0,0,0,0,0,1,0
289,molécula,átomo,nouns,0,1,5,4,2,0,3,2,5,3
290,mano,pulgar,nouns,0,1,4,0,1,0,2,2,4,0
291,profesor,rabino,nouns,0,0,1,0,0,0,1,0,4,0
292,lago,nube,nouns,0,0,0,0,0,0,0,0,3,0
293,chico,niño,nouns,3,5,4,3,3,6,3,5,6,6
294,computadora,máquina,nouns,1,2,5,3,4,5,4,3,5,6
295,agujero,esposa,nouns,0,0,0,0,0,0,0,0,0,0
296,colegio,grado,nouns,0,0,5,0,4,0,2,0,4,0
297,volar,hormiga,nouns,0,0,1,0,0,0,1,0,3,0
298,ropa,capa,nouns,0,1,2,0,1,0,2,1,4,3
299,sangre,médula,nouns,1,0,4,0,0,0,2,2,4,0
300,agonía,dolor,nouns,3,5,0,5,1,4,4,5,6,3
301,teorema,teoría,nouns,1,0,6,5,3,6,3,5,5,5
302,manzana,caramelo,nouns,0,0,0,0,0,0,0,1,4,0
303,madera,papel,nouns,0,0,3,0,1,0,0,2,4,0
304,conversación,discusión,nouns,4,1,3,4,2,0,3,2,5,3
305,pollo,filete,nouns,0,1,6,1,1,4,3,2,5,0
306,fraternidad,puerta,nouns,0,0,4,0,0,0,0,0,0,0
307,habitación,cama,nouns,0,1,6,0,0,0,1,1,4,0
308,unión,suma,nouns,0,1,6,6,3,4,1,5,5,3
309,alcohol,cóctel,nouns,0,1,6,4,1,0,4,3,5,0
310,cuota,salario,nouns,0,1,6,3,2,0,1,3,4,0
311,hermana,hermano,nouns,2,2,4,6,4,0,4,1,6,6
312,tifón,ciclón,nouns,2,5,5,5,5,6,5,3,6,4
313,escritor,regalo,nouns,0,0,0,0,0,0,0,0,1,0
314,montaña,repisa,nouns,0,0,4,0,0,0,0,0,0,0
315,botella,envase,nouns,3,2,3,1,2,0,1,3,5,0
316,cuenco,cola,nouns,0,0,0,0,0,0,0,0,2,0
317,barco de cañón,costa,nouns,0,0,3,0,0,0,0,1,3,0
318,falda,reloj,nouns,0,0,0,0,0,0,0,0,3,0
319,agua,sal,nouns,0,0,0,0,0,0,0,0,4,0
320,población,gente,nouns,3,4,6,4,3,0,4,3,6,4
321,palabra,página,nouns,0,0,0,0,0,0,0,1,4,0
322,Nota,trabajo,nouns,0,0,0,0,0,0,3,1,3,0
323,líder,gerente,nouns,2,3,6,2,1,3,4,3,5,3
324,suéter,chaqueta,nouns,1,0,5,2,3,4,4,2,5,0
325,nariz,cabeza,nouns,0,1,1,0,0,0,1,2,4,0
326,juego,acción,nouns,0,0,6,0,2,0,1,1,4,0
327,cable,cuerda,nouns,2,2,4,3,2,4,1,2,5,0
328,reunión creativa,telescopio,nouns,0,0,0,0,0,0,0,0,0,0
329,combinación,Unión,nouns,2,4,6,6,4,4,3,5,6,2
330,Actriz,actor,nouns,2,2,6,6,5,5,2,1,6,6
331,rabino,ministro,nouns,0,0,0,0,4,0,0,2,6,0
332,compañero,acompañante,nouns,4,1,6,4,3,6,4,6,6,3
333,creador,fabricante,nouns,3,2,6,3,2,5,3,5,5,3
334,cama,manta,nouns,0,1,3,0,0,0,1,2,4,0
335,rama,brazo,nouns,2,0,0,0,3,5,0,2,1,0
336,insignias,dignidad,nouns,0,0,0,0,0,0,0,0,4,0
337,avión,chorro,nouns,0,0,0,0,0,0,0,0,0,0
338,hombre,Víctor,nouns,0,1,0,0,0,0,1,1,4,0
339,piña,teléfono inteligente,nouns,0,0,0,0,0,0,0,0,0,0
340,plato,cuenco,nouns,0,5,3,3,2,0,0,3,5,3
341,hierba,musgo,nouns,1,1,4,1,1,0,4,2,5,2
342,república,duque,nouns,0,0,0,0,0,0,0,0,2,0
343,Leche,jugo,nouns,0,0,0,0,1,0,1,1,4,0
344,profesor,monitor,nouns,0,0,3,4,3,0,0,2,5,4
345,nepotismo,Rey,nouns,1,2,6,0,3,0,0,2,3,0
346,pájaro,halcón,nouns,1,1,4,1,1,0,4,4,5,2
347,Valle,depresión,nouns,2,0,6,3,2,0,2,5,6,4
348,máquina,motor,nouns,1,1,6,3,3,0,4,3,5,2
349,gente,centavo,nouns,0,0,0,0,0,0,0,0,1,0
350,obrero,oficina,nouns,0,0,0,0,0,0,0,0,2,0
351,criptograma,símbolo,nouns,2,0,6,2,2,0,3,3,5,3
352,apartamento,mueble,nouns,0,0,0,0,0,0,0,1,4,0
353,caja,cigarro,nouns,0,0,1,0,0,0,1,1,4,0
354,Desierto,duna,nouns,1,1,6,2,1,0,5,2,5,2
355,limón,té,nouns,0,0,0,0,0,0,0,1,4,0
356,roble,arce,nouns,1,0,1,0,1,0,3,1,5,0
357,flauta,música,nouns,0,0,6,0,1,4,1,1,4,0
358,dinero,efectivo,nouns,2,4,6,5,3,5,5,5,5,5
359,frente,ojo,nouns,0,0,1,0,0,0,0,1,3,0
360,ahorro,ahorrador,nouns,1,1,6,2,2,3,3,2,5,3
361,cadera,labio,nouns,0,0,0,0,0,0,0,1,4,0
362,magma,volcán,nouns,0,1,6,1,0,0,3,2,5,2
363,tubo,cigarro,nouns,0,0,0,0,0,0,0,0,3,0
364,antropología,arqueología,nouns,0,0,3,0,0,0,0,1,4,3
365,colina,acantilado,nouns,1,0,6,0,0,0,2,1,4,2
366,juego,divertido,nouns,0,0,6,0,0,0,0,0,5,0
367,profundidad,magnitud,nouns,0,1,1,0,2,0,2,0,5,0
368,hermano,alma,nouns,0,0,0,0,0,0,0,0,3,0
369,parcialidad,opinión,nouns,3,1,3,2,2,0,2,3,5,0
370,ritmo,melodía,nouns,1,3,2,2,3,6,3,3,6,3
371,fórmula,tronco,nouns,0,0,0,0,0,0,0,0,2,0
372,obispo,musulmán,nouns,0,0,0,0,0,0,0,0,4,0
373,ropa,chaqueta,nouns,1,1,3,1,1,0,1,2,5,0
374,nariz,boca,nouns,0,0,0,0,0,0,1,2,4,2
375,ovillo,hilo,nouns,1,1,6,2,1,0,0,2,5,3
376,autopista,carretera,nouns,5,3,6,2,4,6,3,4,5,4
377,pesticida,parásito,nouns,0,0,0,0,0,0,0,1,4,0
378,vaso,tarro,nouns,1,5,4,2,2,0,4,2,4,0
379,calle,coche,nouns,0,0,0,0,0,0,0,0,3,0
380,capitán,marinero,nouns,1,0,1,2,2,0,2,2,5,0
381,teoría,hipótesis,nouns,2,0,4,2,5,5,3,6,6,3
382,ortodoncista,dentista,nouns,2,6,5,4,4,4,2,4,5,3
383,cargador,disco,nouns,0,0,0,0,0,0,0,0,4,0
384,mejilla,lengua,nouns,0,0,0,0,0,0,0,0,4,0
385,soldado,paz,nouns,0,0,0,0,0,0,0,0,3,0
386,película,teatro,nouns,1,1,2,0,0,0,0,1,4,0
387,cáncer,enfermedad,nouns,1,1,6,4,1,4,0,4,5,3
388,club,sociedad,nouns,2,3,0,3,2,4,2,4,6,3
389,actitud,confianza,nouns,0,0,5,3,3,0,2,1,5,0
390,bicicleta,piel,nouns,0,0,2,0,0,0,0,0,2,0
391,delito,ataque,nouns,1,0,4,3,2,0,1,2,4,0
392,cola,posterior,nouns,2,2,4,3,3,0,2,4,5,0
393,sargento,pistola,nouns,0,0,2,0,0,0,0,0,4,0
394,agujero,acuerdo,nouns,0,0,0,0,0,0,0,0,0,0
395,niño,chico,nouns,4,5,4,2,4,6,2,4,6,5
